#x y z label
-47.312 130.484 -108.676 point_000
-49.856 123.531 -108.939 point_001
-53.535 115.306 -109.254 point_002
-55.853 109.230 -109.434 point_003
-59.483 100.837 -109.691 point_004
-62.626 94.507 -109.928 point_005
-70.100 79.489 -110.001 point_006
-75.925 68.791 -109.753 point_007
-79.620 61.385 -110.033 point_008
-83.975 52.145 -110.035 point_009
-88.118 44.152 -110.008 point_010
-91.848 36.754 -109.930 point_011
-96.180 30.239 -109.732 point_012
-99.304 23.027 -109.472 point_013
-102.788 15.145 -109.232 point_014
-103.760 11.706 -109.125 point_015
