#x y z label
-107.091 14.372 -109.379 point_000
-104.025 21.460 -109.521 point_001
-100.457 28.410 -109.674 point_002
-97.196 34.237 -109.867 point_003
-93.291 41.359 -110.016 point_004
-90.516 46.929 -110.055 point_005
-86.030 54.810 -110.067 point_006
-81.885 63.445 -110.092 point_007
-77.390 71.133 -110.058 point_008
-73.161 80.108 -110.084 point_009
-69.260 88.665 -110.090 point_010
-65.448 95.890 -109.961 point_011
-60.711 106.046 -109.651 point_012
-56.619 115.395 -109.314 point_013
-53.321 123.436 -108.973 point_014
-50.948 131.270 -108.680 point_015
