#x y z label
132.265 248.164 -111.135 point_000
115.949 256.549 -110.972 point_001
102.700 267.458 -111.072 point_002
91.821 277.553 -111.009 point_003
78.219 287.575 -110.780 point_004
63.669 301.644 -110.689 point_005
56.750 318.459 -110.880 point_006
61.740 335.775 -110.860 point_007
72.570 348.320 -110.830 point_008
91.920 354.891 -110.809 point_009
108.436 351.137 -110.796 point_010
122.220 346.822 -110.743 point_011
134.795 345.302 -110.749 point_012
154.930 341.053 -110.696 point_013
177.228 339.949 -110.767 point_014
189.668 340.876 -110.811 point_015
208.137 340.324 -110.754 point_016
218.996 342.144 -110.701 point_017
234.226 342.402 -110.685 point_018
246.668 342.752 -110.646 point_019
262.634 346.991 -110.817 point_020
276.774 351.369 -110.876 point_021
294.554 358.878 -110.937 point_022
311.777 367.123 -110.994 point_023
