#x y z label
-171.264 149.722 -76.371 point_000
-193.285 118.192 -75.869 point_001
-241.235 67.326 -76.397 point_002
-286.961 35.414 -76.491 point_003
-323.458 18.107 -76.976 point_004
-366.049 4.178 -76.696 point_005
-397.863 -0.457 -76.780 point_006
-448.161 -5.842 -77.131 point_007
-499.714 -14.828 -76.470 point_008
-566.163 -30.985 -76.976 point_009
-626.999 -51.724 -76.348 point_010
-685.308 -77.767 -76.687 point_011
-601.143 -154.324 -76.878 point_012
-555.560 -208.878 -77.365 point_013
-465.329 -180.592 -77.439 point_014
-434.387 -184.357 -77.058 point_015
-352.181 -121.150 -76.841 point_016
-273.256 -81.056 -77.177 point_017
-207.908 -20.469 -76.973 point_018
-163.826 40.646 -76.629 point_019
-139.333 99.096 -76.450 point_020
-127.344 142.287 -76.382 point_021
