#x y z label
-13.768 37.730 -72.296 point_000
-15.519 36.481 -72.259 point_001
-16.784 35.386 -72.218 point_002
-17.787 34.277 -72.190 point_003
-19.108 32.911 -72.233 point_004
-20.331 31.055 -72.247 point_005
-21.359 29.096 -72.206 point_006
-22.629 26.897 -72.239 point_007
-23.965 24.275 -72.200 point_008
-25.307 21.887 -72.230 point_009
-26.610 19.541 -72.232 point_010
-27.535 17.841 -72.249 point_011
-28.328 16.228 -72.198 point_012
-29.082 14.914 -72.222 point_013
-29.668 13.849 -72.216 point_014
-30.596 12.030 -72.203 point_015
-31.598 10.219 -72.198 point_016
-32.412 8.790 -72.216 point_017
-33.374 6.967 -72.216 point_018
-34.325 5.197 -72.251 point_019
-35.054 3.522 -72.247 point_020
-35.504 2.290 -72.229 point_021
-35.822 1.079 -72.253 point_022
-36.023 0.019 -72.253 point_023
-36.196 -1.187 -72.263 point_024
-36.238 -2.363 -72.258 point_025
-36.251 -3.213 -72.248 point_026
-36.245 -3.985 -72.271 point_027
-36.144 -5.030 -72.281 point_028
-36.007 -6.111 -72.278 point_029
-35.723 -7.347 -72.277 point_030
-35.341 -8.517 -72.269 point_031
-35.091 -9.241 -72.267 point_032
-34.573 -10.538 -72.272 point_033
-34.057 -11.476 -72.255 point_034
-33.525 -12.352 -72.250 point_035
-33.029 -13.103 -72.250 point_036
-32.390 -14.025 -72.256 point_037
-31.597 -15.144 -72.280 point_038
-30.644 -16.050 -72.304 point_039
-29.287 -17.053 -72.245 point_040
-27.620 -18.275 -72.278 point_041
-26.037 -19.047 -72.265 point_042
-24.676 -19.678 -72.306 point_043
-22.980 -20.245 -72.282 point_044
-21.644 -20.475 -72.237 point_045
-20.190 -20.796 -72.257 point_046
-18.674 -20.972 -72.251 point_047
-17.151 -21.142 -72.234 point_048
-15.927 -21.361 -72.256 point_049
-14.550 -21.574 -72.276 point_050
-13.070 -21.753 -72.268 point_051
-11.298 -21.865 -72.237 point_052
-9.579 -22.197 -72.282 point_053
-8.022 -22.379 -72.261 point_054
-6.465 -22.514 -72.240 point_055
-4.801 -22.743 -72.243 point_056
-3.645 -22.870 -72.233 point_057
-2.141 -23.084 -72.259 point_058
-0.605 -23.272 -72.242 point_059
0.651 -23.371 -72.203 point_060
2.201 -23.601 -72.225 point_061
3.877 -23.891 -72.254 point_062
5.633 -24.089 -72.257 point_063
7.331 -24.311 -72.238 point_064
8.835 -24.488 -72.224 point_065
10.310 -24.715 -72.235 point_066
11.694 -24.914 -72.241 point_067
13.379 -25.108 -72.240 point_068
14.570 -25.231 -72.218 point_069
15.779 -25.453 -72.252 point_070
17.329 -25.650 -72.257 point_071
19.140 -25.891 -72.231 point_072
19.736 -25.933 -72.225 point_073
20.573 -26.021 -72.245 point_074
21.620 -26.051 -72.250 point_075
22.787 -26.025 -72.238 point_076
24.049 -25.947 -72.272 point_077
25.143 -25.703 -72.250 point_078
26.595 -25.322 -72.232 point_079
27.329 -25.122 -72.244 point_080
28.516 -24.676 -72.245 point_081
29.890 -24.025 -72.238 point_082
30.764 -23.448 -72.232 point_083
31.578 -23.010 -72.240 point_084
32.374 -22.442 -72.240 point_085
33.541 -21.352 -72.223 point_086
34.456 -20.568 -72.233 point_087
35.343 -19.620 -72.235 point_088
36.213 -18.452 -72.221 point_089
37.015 -17.057 -72.212 point_090
37.797 -15.699 -72.201 point_091
38.485 -14.443 -72.209 point_092
39.211 -13.234 -72.233 point_093
39.644 -12.375 -72.225 point_094
40.103 -11.489 -72.216 point_095
40.553 -10.626 -72.201 point_096
41.118 -9.591 -72.202 point_097
41.674 -8.553 -72.214 point_098
42.220 -7.500 -72.190 point_099
42.876 -6.302 -72.200 point_100
43.481 -5.280 -72.215 point_101
44.034 -4.140 -72.199 point_102
44.522 -3.102 -72.208 point_103
45.063 -1.995 -72.230 point_104
45.288 -1.139 -72.234 point_105
45.634 -0.111 -72.240 point_106
45.736 0.565 -72.210 point_107
45.953 1.536 -72.242 point_108
46.105 2.713 -72.237 point_109
46.089 3.304 -72.213 point_110
46.169 4.274 -72.223 point_111
46.178 4.853 -72.243 point_112
46.139 6.018 -72.251 point_113
45.984 7.025 -72.248 point_114
45.802 7.910 -72.251 point_115
45.568 8.898 -72.248 point_116
45.311 9.929 -72.277 point_117
44.947 10.888 -72.261 point_118
44.508 11.920 -72.260 point_119
43.991 12.912 -72.261 point_120
43.523 13.708 -72.252 point_121
42.978 14.616 -72.270 point_122
42.397 15.287 -72.249 point_123
41.811 16.095 -72.267 point_124
41.151 16.701 -72.234 point_125
40.539 17.391 -72.269 point_126
39.813 18.060 -72.277 point_127
38.954 18.697 -72.262 point_128
37.958 19.399 -72.247 point_129
37.163 19.895 -72.259 point_130
36.218 20.447 -72.260 point_131
35.421 20.933 -72.274 point_132
34.550 21.317 -72.241 point_133
33.499 21.853 -72.225 point_134
32.383 22.456 -72.239 point_135
31.199 23.123 -72.252 point_136
30.243 23.698 -72.266 point_137
28.907 24.413 -72.276 point_138
27.900 24.875 -72.247 point_139
26.763 25.523 -72.251 point_140
25.690 26.070 -72.225 point_141
24.420 26.773 -72.235 point_142
23.177 27.523 -72.254 point_143
21.975 28.128 -72.240 point_144
21.215 28.536 -72.245 point_145
20.025 29.202 -72.255 point_146
18.850 29.806 -72.233 point_147
17.737 30.424 -72.230 point_148
16.820 30.828 -72.204 point_149
15.714 31.546 -72.246 point_150
14.669 32.100 -72.250 point_151
13.649 32.692 -72.251 point_152
12.750 33.150 -72.240 point_153
11.549 33.802 -72.255 point_154
10.438 34.414 -72.250 point_155
9.410 34.956 -72.285 point_156
8.539 35.420 -72.244 point_157
7.490 35.913 -72.218 point_158
5.925 36.760 -72.213 point_159
4.723 37.472 -72.249 point_160
3.156 38.104 -72.181 point_161
0.915 39.223 -72.265 point_162
-0.901 39.528 -72.184 point_163
-3.326 40.012 -72.210 point_164
-4.108 40.019 -72.199 point_165
-5.751 40.010 -72.207 point_166
-7.203 39.816 -72.170 point_167
-8.345 39.750 -72.249 point_168
-10.011 39.313 -72.233 point_169
-11.568 38.705 -72.218 point_170
-12.753 38.215 -72.249 point_171
