#x y z label
-67.170 -226.748 -60.033 point_000
-60.730 -224.739 -59.974 point_001
-38.686 -218.129 -60.006 point_002
-7.906 -208.913 -60.074 point_003
10.981 -203.348 -60.024 point_004
16.657 -201.672 -59.998 point_005
17.141 -203.098 -59.617 point_006
22.058 -201.620 -59.622 point_007
33.254 -198.284 -59.626 point_008
41.510 -195.800 -59.641 point_009
48.007 -193.874 -59.672 point_010
47.605 -192.437 -60.035 point_011
56.287 -189.879 -60.007 point_012
75.161 -184.242 -60.039 point_013
83.888 -181.688 -60.009 point_014
87.385 -180.810 -60.017 point_015
91.603 -180.131 -60.002 point_016
96.527 -179.775 -60.005 point_017
100.356 -179.943 -59.985 point_018
104.727 -180.481 -60.002 point_019
107.932 -181.175 -60.009 point_020
110.887 -182.096 -60.005 point_021
113.714 -183.117 -60.010 point_022
116.189 -184.215 -60.011 point_023
118.104 -185.218 -59.996 point_024
131.812 -192.617 -60.030 point_025
142.157 -198.203 -60.035 point_026
157.619 -206.515 -60.041 point_027
170.412 -213.411 -60.000 point_028
174.889 -215.871 -60.029 point_029
170.785 -223.696 -57.719 point_030
167.720 -229.319 -56.369 point_031
164.438 -235.388 -57.955 point_032
161.486 -240.827 -59.556 point_033
160.714 -242.777 -59.978 point_034
159.468 -241.729 -59.991 point_035
149.334 -236.252 -60.024 point_036
137.083 -229.652 -60.058 point_037
125.180 -223.188 -60.013 point_038
115.328 -217.860 -60.027 point_039
104.569 -212.044 -60.019 point_040
103.862 -211.630 -60.006 point_041
102.272 -210.935 -60.011 point_042
100.043 -210.237 -60.019 point_043
97.827 -209.943 -60.051 point_044
95.541 -209.962 -60.038 point_045
93.134 -210.313 -60.020 point_046
92.312 -210.592 -60.025 point_047
87.129 -212.091 -60.043 point_048
77.907 -214.830 -60.104 point_049
66.807 -218.178 -60.090 point_050
58.983 -220.471 -60.041 point_051
56.283 -221.243 -60.028 point_052
55.746 -219.890 -59.638 point_053
53.286 -220.656 -59.693 point_054
48.570 -222.054 -59.691 point_055
36.413 -225.650 -59.700 point_056
30.001 -227.510 -59.670 point_057
25.984 -228.674 -59.668 point_058
24.869 -229.038 -59.654 point_059
25.056 -229.736 -59.817 point_060
25.691 -230.760 -60.055 point_061
24.684 -230.697 -60.055 point_062
16.894 -233.014 -60.031 point_063
3.139 -237.112 -60.076 point_064
-10.940 -241.283 -59.986 point_065
-24.318 -245.285 -60.018 point_066
-33.538 -248.012 -60.024 point_067
-45.317 -251.508 -60.016 point_068
-53.891 -254.085 -60.028 point_069
-58.536 -255.442 -59.983 point_070
-61.122 -246.905 -57.754 point_071
-63.084 -240.491 -56.472 point_072
-66.012 -230.513 -59.010 point_073
